plate,transfer,p,f
2,15,U,0.24852089599001
2,15,S,0.0747323158021781
2,15,A,0.676746788208875
2,15,B,0
2,15,AB,0
2,16,U,0.244631540090598
2,16,S,0.0746654240109956
2,16,A,0.680703035898398
2,16,B,0
2,16,AB,0
2,17,U,0.241800440078282
2,17,S,0.0746149431349215
2,17,A,0.68358461678654
2,17,B,0
2,17,AB,0
2,18,U,0.239720481404037
2,18,S,0.0745802953959297
2,18,A,0.685699223199284
2,18,B,0
2,18,AB,0
2,19,U,0.238224986256631
2,19,S,0.0745560692544503
2,19,A,0.687218944487551
2,19,B,0
2,19,AB,0
2,20,U,0.237114658591964
2,20,S,0.074538542496949
2,20,A,0.688346798908966
2,20,B,0
2,20,AB,0
2,21,U,0.236319195315756
2,21,S,0.0745249385975852
2,21,A,0.689155866083992
2,21,B,0
2,21,AB,0
2,22,U,0.235771909971453
2,22,S,0.0745157311355684
2,22,A,0.689712358889819
2,22,B,0
2,22,AB,0
2,23,U,0.235359377909124
2,23,S,0.0745083829681762
2,23,A,0.690132239119204
2,23,B,0
2,23,AB,0
2,24,U,0.23510251149289
2,24,S,0.0745029734510026
2,24,A,0.690394515052722
2,24,B,0
2,24,AB,0
2,25,U,0.234926879301567
2,25,S,0.0744981822915367
2,25,A,0.690574938404141
2,25,B,0
2,25,AB,0
2,26,U,0.234810039986578
2,26,S,0.074495477781229
2,26,A,0.69069448222994
2,26,B,0
2,26,AB,0
2,27,U,0.234708604339855
2,27,S,0.0744942928301904
2,27,A,0.690797102828071
2,27,B,0
2,27,AB,0
2,28,U,0.234635287880537
2,28,S,0.0744936572927396
2,28,A,0.690871054825039
2,28,B,0
2,28,AB,0
2,29,U,0.234562391096127
2,29,S,0.0744933601801459
2,29,A,0.690944248721942
2,29,B,0
2,29,AB,0
2,30,U,0.234510846759423
2,30,S,0.0744929830323048
2,30,A,0.690996170206382
2,30,B,0
2,30,AB,0
2,31,U,0.234470153674539
2,31,S,0.074492161811177
2,31,A,0.69103768451226
2,31,B,0
2,31,AB,0
2,32,U,0.23444228601831
2,32,S,0.0744916345254321
2,32,A,0.691066079454305
2,32,B,0
2,32,AB,0
2,33,U,0.234427064950864
2,33,S,0.0744911131250967
2,33,A,0.691081821922201
2,33,B,0
2,33,AB,0
2,34,U,0.2344244904722
2,34,S,0.0744905976101707
2,34,A,0.691084911915949
2,34,B,0
2,34,AB,0
2,35,U,0.234431684734101
