plate,transfer,p,mean,n,se,max,min
1,16,U,0.010638297872340425,4,0,0.010638297872340425,0.010638297872340425
1,16,S,0.9893617021276596,4,0,0.9893617021276596,0.9893617021276596
1,16,A,0,4,0,0,0
1,16,B,0,4,0,0,0
1,16,A/B,0,4,0,0,0
1,16,AB,0,4,0,0,0
1,16,E,0,4,0,0,0
1,17,U,0.031914893617021274,4,0,0.031914893617021274,0.031914893617021274
1,17,S,0.9680851063829787,4,0,0.9680851063829787,0.9680851063829787
1,17,A,0,4,0,0,0
1,17,B,0,4,0,0,0
1,17,A/B,0,4,0,0,0
1,17,AB,0,4,0,0,0
1,17,E,0,4,0,0,0
1,18,U,0.010638297872340425,4,0,0.010638297872340425,0.010638297872340425
1,18,S,0.9893617021276596,4,0,0.9893617021276596,0.9893617021276596
1,18,A,0,4,0,0,0
1,18,B,0,4,0,0,0
1,18,A/B,0,4,0,0,0
1,18,AB,0,4,0,0,0
1,18,E,0,4,0,0,0
1,19,U,0.031914893617021274,4,0,0.031914893617021274,0.031914893617021274
1,19,S,0.9680851063829787,4,0,0.9680851063829787,0.9680851063829787
1,19,A,0,4,0,0,0
1,19,B,0,4,0,0,0
1,19,A/B,0,4,0,0,0
1,19,AB,0,4,0,0,0
1,19,E,0,4,0,0,0
1,20,U,0.02659574468085106,4,0.0030710120701575834,0.031914893617021274,0.02127659574468085
1,20,S,0.9734042553191489,4,0.003071012070157572,0.9787234042553191,0.9680851063829787
1,20,A,0,4,0,0,0
1,20,B,0,4,0,0,0
1,20,A/B,0,4,0,0,0
1,20,AB,0,4,0,0,0
1,20,E,0,4,0,0,0
1,21,U,0.045212765957446804,4,0.010068986428723888,0.07446808510638298,0.031914893617021274
1,21,S,0.9547872340425532,4,0.010068986428723906,0.9680851063829787,0.925531914893617
1,21,A,0,4,0,0,0
1,21,B,0,4,0,0,0
1,21,A/B,0,4,0,0,0
1,21,AB,0,4,0,0,0
1,21,E,0,4,0,0,0
1,22,U,0.061170212765957445,4,0.005092697381682648,0.07446808510638298,0.05319148936170213
1,22,S,0.9388297872340425,4,0.005092697381682654,0.9468085106382979,0.925531914893617
1,22,A,0,4,0,0,0
1,22,B,0,4,0,0,0
1,22,A/B,0,4,0,0,0
1,22,AB,0,4,0,0,0
1,22,E,0,4,0,0,0
1,23,U,0.07180851063829786,4,0.00509269738168265,0.0851063829787234,0.06382978723404255
1,23,S,0.9281914893617021,4,0.00509269738168266,0.9361702127659575,0.9148936170212766
1,23,A,0,4,0,0,0
1,23,B,0,4,0,0,0
1,23,A/B,0,4,0,0,0
1,23,AB,0,4,0,0,0
1,23,E,0,4,0,0,0
1,24,U,0.047872340425531915,4,0.0030710120701575843,0.05319148936170213,0.0425531914893617
1,24,S,0.9441489361702128,4,0.0026595744680850963,0.9468085106382979,0.9361702127659575
1,24,A,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
1,24,B,0,4,0,0,0
1,24,A/B,0,4,0,0,0
1,24,AB,0,4,0,0,0
1,24,E,0,4,0,0,0
1,25,U,0.045212765957446804,4,0.0026595744680851068,0.05319148936170213,0.0425531914893617
