plate,transfer,p,mean,n,se,max,min
3,8,AB,0.37765957446808507,4,0.049423261931795574,0.5106382978723404,0.2765957446808511
3,8,E,0,4,0,0,0
3,9,U,0.0851063829787234,4,0.009711392863566776,0.10638297872340426,0.06382978723404255
3,9,S,0.005319148936170213,4,0.005319148936170213,0.02127659574468085,0
3,9,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,9,B,0.4015957446808511,4,0.03820294579151639,0.5,0.3191489361702128
3,9,A/B,0.023936170212765957,4,0.0109657064511108,0.05319148936170213,0
3,9,AB,0.48138297872340424,4,0.045834276435143845,0.5851063829787234,0.3617021276595745
3,9,E,0,4,0,0,0
3,10,U,0.061170212765957445,4,0.00908417621095709,0.0851063829787234,0.0425531914893617
3,10,S,0.018617021276595744,4,0.00908417621095709,0.0425531914893617,0
3,10,A,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,10,B,0.4574468085106383,4,0.045757049292779926,0.5531914893617021,0.35106382978723405
3,10,A/B,0.034574468085106384,4,0.013989125742960549,0.07446808510638298,0.010638297872340425
3,10,AB,0.425531914893617,4,0.04894387851717115,0.5212765957446809,0.2978723404255319
3,10,E,0,4,0,0,0
3,11,U,0.07446808510638298,4,0.00868613383965666,0.09574468085106383,0.05319148936170213
3,11,S,0.045212765957446804,4,0.00509269738168265,0.05319148936170213,0.031914893617021274
3,11,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,11,B,0.3670212765957447,4,0.0492320687124639,0.5106382978723404,0.2978723404255319
3,11,A/B,0.034574468085106384,4,0.00797872340425532,0.05319148936170213,0.02127659574468085
3,11,AB,0.473404255319149,4,0.03514933971914719,0.5212765957446809,0.3723404255319149
3,11,E,0,4,0,0,0
3,12,U,0.07712765957446809,4,0.0109657064511108,0.09574468085106383,0.05319148936170213
3,12,S,0.034574468085106384,4,0.009084176210957091,0.05319148936170213,0.010638297872340425
3,12,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,12,B,0.026595744680851064,4,0.00686699174859471,0.0425531914893617,0.010638297872340425
3,12,A/B,0.0026595744680851063,4,0.0026595744680851063,0.010638297872340425,0
3,12,AB,0.8537234042553191,4,0.01588339793188735,0.8829787234042553,0.8085106382978723
3,12,E,0,4,0,0,0
3,13,U,0.10372340425531915,4,0.015278092145047951,0.13829787234042554,0.06382978723404255
3,13,S,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
3,13,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,13,B,0.35638297872340424,4,0.03487999215054255,0.44680851063829785,0.2765957446808511
3,13,A/B,0.034574468085106384,4,0.01702958573785332,0.0851063829787234,0.010638297872340425
3,13,AB,0.4920212765957447,4,0.026193770749457727,0.5531914893617021,0.425531914893617
3,13,E,0,4,0,0,0
3,14,U,0.05585106382978723,4,0.007978723404255319,0.06382978723404255,0.031914893617021274
3,14,S,0.010638297872340425,4,0.006142024140315168,0.02127659574468085,0
3,14,A,0,4,0,0,0
3,14,B,0.27393617021276595,4,0.01911689596883672,0.32978723404255317,0.24468085106382978
3,14,A/B,0.25,4,0.05737124002611147,0.3723404255319149,0.1276595744680851
3,14,AB,0.4095744680851064,4,0.030863289336044698,0.46808510638297873,0.35106382978723405
3,14,E,0,4,0,0,0
3,15,U,0.15159574468085107,4,0.023936170212765957,0.19148936170212766,0.0851063829787234
3,15,S,0.023936170212765957,4,0.011794445652172048,0.05319148936170213,0
3,15,A,0.005319148936170213,4,0.003071012070157584,0.010638297872340425,0
3,15,B,0.26063829787234044,4,0.028971869926184734,0.32978723404255317,0.2127659574468085
3,15,A/B,0.018617021276595744,4,0.00908417621095709,0.0425531914893617,0
3,15,AB,0.5398936170212766,4,0.021442174862496142,0.5851063829787234,0.48936170212765956
3,15,E,0,4,0,0,0
3,16,U,0.06914893617021277,4,0.00686699174859471,0.0851063829787234,0.05319148936170213
3,16,S,0.005319148936170213,4,0.005319148936170213,0.02127659574468085,0
3,16,A,0.007978723404255319,4,0.0026595744680851063,0.010638297872340425,0
3,16,B,0.2526595744680851,4,0.013989125742960554,0.2765957446808511,0.22340425531914893
3,16,A/B,0.026595744680851064,4,0.005319148936170213,0.0425531914893617,0.02127659574468085
3,16,AB,0.6382978723404256,4,0.02256723769744301,0.6914893617021277,0.5957446808510638
3,16,E,0,4,0,0,0
3,17,U,0.06914893617021275,4,0.02623873862934174,0.1276595744680851,0
3,17,S,0.02659574468085106,4,0.009213036210472751,0.0425531914893617,0
